#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170353844665 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24898972      0.6418571519E-01
  -0.3999000000     -6.24626858      0.6501136997E-01
  -0.3998000000     -6.24354744      0.6582991952E-01
  -0.3997000000     -6.24082630      0.6663641581E-01
  -0.3996000000     -6.23810516      0.6742508379E-01
  -0.3995000000     -6.23538402      0.6818919656E-01
  -0.3994000000     -6.23266289      0.6892093349E-01
  -0.3993000000     -6.22994175      0.6961121954E-01
  -0.3992000000     -6.22722061      0.7024954470E-01
  -0.3991000000     -6.22449947      0.7082376266E-01
  -0.3990000000     -6.22177833      0.7131986936E-01
  -0.3989000000     -6.21905719      0.7172176320E-01
  -0.3988000000     -6.21633606      0.7201099182E-01
  -0.3987000000     -6.21361492      0.7216649399E-01
  -0.3986000000     -6.21089378      0.7216435137E-01
  -0.3985000000     -6.20817264      0.7197757335E-01
  -0.3984000000     -6.20545150      0.7157595060E-01
  -0.3983000000     -6.20273036      0.7092602997E-01
  -0.3982000000     -6.20000923      0.6999128660E-01
  -0.3981000000     -6.19728809      0.6873259973E-01
  -0.3980000000     -6.19456695      0.6710917707E-01
  -0.3979000000     -6.19184581      0.6508011794E-01
  -0.3978000000     -6.18912467      0.6260685439E-01
  -0.3977000000     -6.18640353      0.5965675073E-01
  -0.3976000000     -6.18368240      0.5620815906E-01
  -0.3975000000     -6.18096126      0.5225718706E-01
  -0.3974000000     -6.17824012      0.4782628901E-01
  -0.3973000000     -6.17551898      0.4297448082E-01
  -0.3972000000     -6.17279784      0.3780844848E-01
  -0.3971000000     -6.17007670      0.3249305174E-01
  -0.3970000000     -6.16735556      0.2725880880E-01
  -0.3969000000     -6.16463443      0.2240314740E-01
  -0.3968000000     -6.16191329      0.1828199193E-01
  -0.3967000000     -6.15919215      0.1528919463E-01
  -0.3966000000     -6.15647101      0.1382377875E-01
  -0.3965000000     -6.15374987      0.1424866432E-01
  -0.3964000000     -6.15102873      0.1684830054E-01
  -0.3963000000     -6.14830760      0.2179462613E-01
  -0.3962000000     -6.14558646      0.2912958473E-01
  -0.3961000000     -6.14286532      0.3876806216E-01
  -0.3960000000     -6.14014418      0.5051933470E-01
  -0.3959000000     -6.13742304      0.6412042562E-01
  -0.3958000000     -6.13470190      0.7927290995E-01
  -0.3957000000     -6.13198077      0.9567581756E-01
  -0.3956000000     -6.12925963      0.1130501726E+00
  -0.3955000000     -6.12653849      0.1311538417E+00
  -0.3954000000     -6.12381735      0.1497876812E+00
  -0.3953000000     -6.12109621      0.1687951489E+00
  -0.3952000000     -6.11837507      0.1880577560E+00
  -0.3951000000     -6.11565394      0.2074883893E+00
  -0.3950000000     -6.11293280      0.2270239686E+00
  -0.3949000000     -6.11021166      0.2466183554E+00
  -0.3948000000     -6.10749052      0.2662360014E+00
  -0.3947000000     -6.10476938      0.2858465316E+00
  -0.3946000000     -6.10204824      0.3054202843E+00
  -0.3945000000     -6.09932710      0.3249247462E+00
  -0.3944000000     -6.09660597      0.3443217884E+00
  -0.3943000000     -6.09388483      0.3635656140E+00
  -0.3942000000     -6.09116369      0.3826013445E+00
  -0.3941000000     -6.08844255      0.4013641946E+00
  -0.3940000000     -6.08572141      0.4197792071E+00
  -0.3939000000     -6.08300027      0.4377615324E+00
  -0.3938000000     -6.08027914      0.4552172467E+00
  -0.3937000000     -6.07755800      0.4720446986E+00
  -0.3936000000     -6.07483686      0.4881363656E+00
  -0.3935000000     -6.07211572      0.5033811804E+00
  -0.3934000000     -6.06939458      0.5176672649E+00
  -0.3933000000     -6.06667344      0.5308849780E+00
  -0.3932000000     -6.06395231      0.5429301561E+00
  -0.3931000000     -6.06123117      0.5537074002E+00
  -0.3930000000     -6.05851003      0.5631332430E+00
  -0.3929000000     -6.05578889      0.5711390292E+00
  -0.3928000000     -6.05306775      0.5776733419E+00
  -0.3927000000     -6.05034661      0.5827038376E+00
  -0.3926000000     -6.04762548      0.5862183823E+00
  -0.3925000000     -6.04490434      0.5882254283E+00
  -0.3924000000     -6.04218320      0.5887536231E+00
  -0.3923000000     -6.03946206      0.5878506908E+00
  -0.3922000000     -6.03674092      0.5855816743E+00
  -0.3921000000     -6.03401978      0.5820266610E+00
  -0.3920000000     -6.03129864      0.5772781401E+00
  -0.3919000000     -6.02857751      0.5714381477E+00
  -0.3918000000     -6.02585637      0.5646153525E+00
  -0.3917000000     -6.02313523      0.5569222212E+00
  -0.3916000000     -6.02041409      0.5484723774E+00
  -0.3915000000     -6.01769295      0.5393782417E+00
  -0.3914000000     -6.01497181      0.5297490112E+00
  -0.3913000000     -6.01225068      0.5196890069E+00
  -0.3912000000     -6.00952954      0.5092963946E+00
  -0.3911000000     -6.00680840      0.4986622657E+00
  -0.3910000000     -6.00408726      0.4878700459E+00
  -0.3909000000     -6.00136612      0.4769951957E+00
  -0.3908000000     -5.99864498      0.4661051553E+00
  -0.3907000000     -5.99592385      0.4552594912E+00
  -0.3906000000     -5.99320271      0.4445101979E+00
  -0.3905000000     -5.99048157      0.4339021160E+00
  -0.3904000000     -5.98776043      0.4234734293E+00
  -0.3903000000     -5.98503929      0.4132562111E+00
  -0.3902000000     -5.98231815      0.4032769940E+00
  -0.3901000000     -5.97959702      0.3935573437E+00
  -0.3900000000     -5.97687588      0.3841144206E+00
  -0.3899000000     -5.97415474      0.3749615192E+00
  -0.3898000000     -5.97143360      0.3661085764E+00
  -0.3897000000     -5.96871246      0.3575626444E+00
  -0.3896000000     -5.96599132      0.3493283264E+00
  -0.3895000000     -5.96327018      0.3414081730E+00
  -0.3894000000     -5.96054905      0.3338030415E+00
  -0.3893000000     -5.95782791      0.3265124181E+00
  -0.3892000000     -5.95510677      0.3195347072E+00
  -0.3891000000     -5.95238563      0.3128674893E+00
  -0.3890000000     -5.94966449      0.3065077501E+00
  -0.3889000000     -5.94694335      0.3004520862E+00
  -0.3888000000     -5.94422222      0.2946968879E+00
  -0.3887000000     -5.94150108      0.2892385043E+00
  -0.3886000000     -5.93877994      0.2840733923E+00
  -0.3885000000     -5.93605880      0.2791982538E+00
  -0.3884000000     -5.93333766      0.2746101631E+00
  -0.3883000000     -5.93061652      0.2703066875E+00
  -0.3882000000     -5.92789539      0.2662860042E+00
  -0.3881000000     -5.92517425      0.2625470149E+00
  -0.3880000000     -5.92245311      0.2590894620E+00
  -0.3879000000     -5.91973197      0.2559140480E+00
  -0.3878000000     -5.91701083      0.2530225598E+00
  -0.3877000000     -5.91428969      0.2504180002E+00
  -0.3876000000     -5.91156856      0.2481047281E+00
  -0.3875000000     -5.90884742      0.2460886060E+00
  -0.3874000000     -5.90612628      0.2443771556E+00
  -0.3873000000     -5.90340514      0.2429797151E+00
  -0.3872000000     -5.90068400      0.2419075913E+00
  -0.3871000000     -5.89796286      0.2411741892E+00
  -0.3870000000     -5.89524172      0.2407950924E+00
  -0.3869000000     -5.89252059      0.2407880451E+00
  -0.3868000000     -5.88979945      0.2411727582E+00
  -0.3867000000     -5.88707831      0.2419704065E+00
  -0.3866000000     -5.88435717      0.2432026004E+00
  -0.3865000000     -5.88163603      0.2448894764E+00
  -0.3864000000     -5.87891489      0.2470463198E+00
  -0.3863000000     -5.87619376      0.2496777677E+00
  -0.3862000000     -5.87347262      0.2527680403E+00
  -0.3861000000     -5.87075148      0.2562647295E+00
  -0.3860000000     -5.86803034      0.2600523124E+00
  -0.3859000000     -5.86530920      0.2639097905E+00
  -0.3858000000     -5.86258806      0.2674452659E+00
  -0.3857000000     -5.85986693      0.2700010477E+00
  -0.3856000000     -5.85714579      0.2705322036E+00
  -0.3855000000     -5.85442465      0.2674927053E+00
  -0.3854000000     -5.85170351      0.2588353169E+00
  -0.3853000000     -5.84898237      0.2423390026E+00
  -0.3852000000     -5.84626123      0.2165020480E+00
  -0.3851000000     -5.84354010      0.1818844595E+00
  -0.3850000000     -5.84081896      0.1419621347E+00
  -0.3849000000     -5.83809782      0.1022464945E+00
  -0.3848000000     -5.83537668      0.6786884256E-01
  -0.3847000000     -5.83265554      0.4159059356E-01
  -0.3846000000     -5.82993440      0.2360149362E-01
  -0.3845000000     -5.82721326      0.1254747628E-01
  -0.3844000000     -5.82449213      0.6623155916E-02
  -0.3843000000     -5.82177099      0.4196582624E-02
  -0.3842000000     -5.81904985      0.4016630272E-02
  -0.3841000000     -5.81632871      0.5204625032E-02
  -0.3840000000     -5.81360757      0.7174389589E-02
  -0.3839000000     -5.81088643      0.9547686508E-02
  -0.3838000000     -5.80816530      0.1208662094E-01
  -0.3837000000     -5.80544416      0.1464532015E-01
  -0.3836000000     -5.80272302      0.1713722368E-01
  -0.3835000000     -5.80000188      0.1951355598E-01
  -0.3834000000     -5.79728074      0.2174936464E-01
  -0.3833000000     -5.79455960      0.2383453327E-01
  -0.3832000000     -5.79183847      0.2576802032E-01
  -0.3831000000     -5.78911733      0.2755417680E-01
  -0.3830000000     -5.78639619      0.2920040176E-01
  -0.3829000000     -5.78367505      0.3071565829E-01
  -0.3828000000     -5.78095391      0.3210954418E-01
  -0.3827000000     -5.77823277      0.3339171983E-01
  -0.3826000000     -5.77551164      0.3457156637E-01
  -0.3825000000     -5.77279050      0.3565799165E-01
  -0.3824000000     -5.77006936      0.3665933061E-01
