#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170443133181 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24656005      0.1495839347E+00
  -0.3999000000     -6.24383891      0.1542184244E+00
  -0.3998000000     -6.24111778      0.1590349467E+00
  -0.3997000000     -6.23839664      0.1640333859E+00
  -0.3996000000     -6.23567550      0.1692112931E+00
  -0.3995000000     -6.23295436      0.1745632142E+00
  -0.3994000000     -6.23023322      0.1800798630E+00
  -0.3993000000     -6.22751208      0.1857471088E+00
  -0.3992000000     -6.22479095      0.1915447489E+00
  -0.3991000000     -6.22206981      0.1974450291E+00
  -0.3990000000     -6.21934867      0.2034108846E+00
  -0.3989000000     -6.21662753      0.2093938747E+00
  -0.3988000000     -6.21390639      0.2153318041E+00
  -0.3987000000     -6.21118525      0.2211460528E+00
  -0.3986000000     -6.20846412      0.2267386822E+00
  -0.3985000000     -6.20574298      0.2319894617E+00
  -0.3984000000     -6.20302184      0.2367530679E+00
  -0.3983000000     -6.20030070      0.2408568584E+00
  -0.3982000000     -6.19757956      0.2440998136E+00
  -0.3981000000     -6.19485842      0.2462534622E+00
  -0.3980000000     -6.19213728      0.2470658284E+00
  -0.3979000000     -6.18941615      0.2462695908E+00
  -0.3978000000     -6.18669501      0.2435956207E+00
  -0.3977000000     -6.18397387      0.2387927224E+00
  -0.3976000000     -6.18125273      0.2316535783E+00
  -0.3975000000     -6.17853159      0.2220455201E+00
  -0.3974000000     -6.17581045      0.2099429033E+00
  -0.3973000000     -6.17308932      0.1954559396E+00
  -0.3972000000     -6.17036818      0.1788495472E+00
  -0.3971000000     -6.16764704      0.1605459578E+00
  -0.3970000000     -6.16492590      0.1411070540E+00
  -0.3969000000     -6.16220476      0.1211965459E+00
  -0.3968000000     -6.15948362      0.1015270099E+00
  -0.3967000000     -6.15676249      0.8280076334E-01
  -0.3966000000     -6.15404135      0.6565497602E-01
  -0.3965000000     -6.15132021      0.5061981528E-01
  -0.3964000000     -6.14859907      0.3809455218E-01
  -0.3963000000     -6.14587793      0.2834202200E-01
  -0.3962000000     -6.14315679      0.2149817244E-01
  -0.3961000000     -6.14043566      0.1759149800E-01
  -0.3960000000     -6.13771452      0.1656695472E-01
  -0.3959000000     -6.13499338      0.1830993485E-01
  -0.3958000000     -6.13227224      0.2266736686E-01
  -0.3957000000     -6.12955110      0.2946445477E-01
  -0.3956000000     -6.12682996      0.3851668988E-01
  -0.3955000000     -6.12410882      0.4963748580E-01
  -0.3954000000     -6.12138769      0.6264215550E-01
  -0.3953000000     -6.11866655      0.7734907332E-01
  -0.3952000000     -6.11594541      0.9357884346E-01
  -0.3951000000     -6.11322427      0.1111522095E+00
  -0.3950000000     -6.11050313      0.1298873329E+00
  -0.3949000000     -6.10778199      0.1495969696E+00
  -0.3948000000     -6.10506086      0.1700859872E+00
  -0.3947000000     -6.10233972      0.1911495909E+00
  -0.3946000000     -6.09961858      0.2125725572E+00
  -0.3945000000     -6.09689744      0.2341296956E+00
  -0.3944000000     -6.09417630      0.2555876679E+00
  -0.3943000000     -6.09145516      0.2767081915E+00
  -0.3942000000     -6.08873403      0.2972525233E+00
  -0.3941000000     -6.08601289      0.3169870009E+00
  -0.3940000000     -6.08329175      0.3356892866E+00
  -0.3939000000     -6.08057061      0.3531548696E+00
  -0.3938000000     -6.07784947      0.3692033219E+00
  -0.3937000000     -6.07512833      0.3836838032E+00
  -0.3936000000     -6.07240720      0.3964793659E+00
  -0.3935000000     -6.06968606      0.4075097236E+00
  -0.3934000000     -6.06696492      0.4167322936E+00
  -0.3933000000     -6.06424378      0.4241414910E+00
  -0.3932000000     -6.06152264      0.4297664113E+00
  -0.3931000000     -6.05880150      0.4336671670E+00
  -0.3930000000     -6.05608036      0.4359302334E+00
  -0.3929000000     -6.05335923      0.4366631972E+00
  -0.3928000000     -6.05063809      0.4359892932E+00
  -0.3927000000     -6.04791695      0.4340420701E+00
  -0.3926000000     -6.04519581      0.4309604588E+00
  -0.3925000000     -6.04247467      0.4268844329E+00
  -0.3924000000     -6.03975353      0.4219513749E+00
  -0.3923000000     -6.03703240      0.4162931878E+00
  -0.3922000000     -6.03431126      0.4100341353E+00
