#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170831807276 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.23598369      0.3132285417E+00
  -0.3999000000     -6.23326255      0.4444235730E+00
  -0.3998000000     -6.23054142      0.5860268168E+00
  -0.3997000000     -6.22782028      0.7145802041E+00
  -0.3996000000     -6.22509914      0.8133295328E+00
  -0.3995000000     -6.22237800      0.8786851693E+00
  -0.3994000000     -6.21965686      0.9165579730E+00
  -0.3993000000     -6.21693572      0.9357189080E+00
  -0.3992000000     -6.21421459      0.9437738053E+00
  -0.3991000000     -6.21149345      0.9460453848E+00
  -0.3990000000     -6.20877231      0.9458459986E+00
  -0.3989000000     -6.20605117      0.9450768179E+00
  -0.3988000000     -6.20333003      0.9447449241E+00
  -0.3987000000     -6.20060889      0.9453200438E+00
  -0.3986000000     -6.19788776      0.9469583979E+00
  -0.3985000000     -6.19516662      0.9496368493E+00
  -0.3984000000     -6.19244548      0.9532314646E+00
  -0.3983000000     -6.18972434      0.9575630481E+00
  -0.3982000000     -6.18700320      0.9624235122E+00
  -0.3981000000     -6.18428206      0.9675913267E+00
  -0.3980000000     -6.18156092      0.9728408656E+00
  -0.3979000000     -6.17883979      0.9779484443E+00
  -0.3978000000     -6.17611865      0.9826966397E+00
  -0.3977000000     -6.17339751      0.9868777794E+00
  -0.3976000000     -6.17067637      0.9902970610E+00
  -0.3975000000     -6.16795523      0.9927754986E+00
  -0.3974000000     -6.16523409      0.9941527394E+00
  -0.3973000000     -6.16251296      0.9942896924E+00
  -0.3972000000     -6.15979182      0.9930708579E+00
  -0.3971000000     -6.15707068      0.9904062277E+00
  -0.3970000000     -6.15434954      0.9862326230E+00
  -0.3969000000     -6.15162840      0.9805143650E+00
  -0.3968000000     -6.14890726      0.9732432040E+00
  -0.3967000000     -6.14618613      0.9644374836E+00
  -0.3966000000     -6.14346499      0.9541405611E+00
  -0.3965000000     -6.14074385      0.9424185568E+00
  -0.3964000000     -6.13802271      0.9293575423E+00
  -0.3963000000     -6.13530157      0.9150603093E+00
  -0.3962000000     -6.13258043      0.8996428777E+00
  -0.3961000000     -6.12985930      0.8832309042E+00
  -0.3960000000     -6.12713816      0.8659561461E+00
  -0.3959000000     -6.12441702      0.8479531139E+00
  -0.3958000000     -6.12169588      0.8293560228E+00
  -0.3957000000     -6.11897474      0.8102961208E+00
  -0.3956000000     -6.11625360      0.7908994436E+00
  -0.3955000000     -6.11353246      0.7712850162E+00
  -0.3954000000     -6.11081133      0.7515634965E+00
  -0.3953000000     -6.10809019      0.7318362362E+00
  -0.3952000000     -6.10536905      0.7121947214E+00
  -0.3951000000     -6.10264791      0.6927203434E+00
  -0.3950000000     -6.09992677      0.6734844484E+00
  -0.3949000000     -6.09720563      0.6545486113E+00
  -0.3948000000     -6.09448450      0.6359650826E+00
  -0.3947000000     -6.09176336      0.6177773619E+00
  -0.3946000000     -6.08904222      0.6000208556E+00
  -0.3945000000     -6.08632108      0.5827235836E+00
  -0.3944000000     -6.08359994      0.5659069067E+00
  -0.3943000000     -6.08087880      0.5495862493E+00
  -0.3942000000     -6.07815767      0.5337718028E+00
  -0.3941000000     -6.07543653      0.5184691935E+00
  -0.3940000000     -6.07271539      0.5036801087E+00
  -0.3939000000     -6.06999425      0.4894028743E+00
  -0.3938000000     -6.06727311      0.4756329809E+00
  -0.3937000000     -6.06455197      0.4623635593E+00
  -0.3936000000     -6.06183084      0.4495858041E+00
  -0.3935000000     -6.05910970      0.4372893493E+00
  -0.3934000000     -6.05638856      0.4254625982E+00
  -0.3933000000     -6.05366742      0.4140930101E+00
  -0.3932000000     -6.05094628      0.4031673489E+00
  -0.3931000000     -6.04822514      0.3926718957E+00
  -0.3930000000     -6.04550400      0.3825926305E+00
  -0.3929000000     -6.04278287      0.3729153847E+00
  -0.3928000000     -6.04006173      0.3636259699E+00
  -0.3927000000     -6.03734059      0.3547102835E+00
  -0.3926000000     -6.03461945      0.3461543967E+00
  -0.3925000000     -6.03189831      0.3379446244E+00
  -0.3924000000     -6.02917717      0.3300675823E+00
  -0.3923000000     -6.02645604      0.3225102303E+00
  -0.3922000000     -6.02373490      0.3152599071E+00
  -0.3921000000     -6.02101376      0.3083043544E+00
  -0.3920000000     -6.01829262      0.3016317344E+00
  -0.3919000000     -6.01557148      0.2952306416E+00
  -0.3918000000     -6.01285034      0.2890901079E+00
  -0.3917000000     -6.01012921      0.2831996048E+00
  -0.3916000000     -6.00740807      0.2775490417E+00
  -0.3915000000     -6.00468693      0.2721287609E+00
  -0.3914000000     -6.00196579      0.2669295308E+00
  -0.3913000000     -5.99924465      0.2619425376E+00
