#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170361125047 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24879161      0.3064962385E-01
  -0.3999000000     -6.24607047      0.3035742677E-01
  -0.3998000000     -6.24334933      0.3002492631E-01
  -0.3997000000     -6.24062819      0.2964824739E-01
  -0.3996000000     -6.23790705      0.2922326563E-01
  -0.3995000000     -6.23518592      0.2874561661E-01
  -0.3994000000     -6.23246478      0.2821071591E-01
  -0.3993000000     -6.22974364      0.2761379404E-01
  -0.3992000000     -6.22702250      0.2694995159E-01
  -0.3991000000     -6.22430136      0.2621424150E-01
  -0.3990000000     -6.22158022      0.2540178786E-01
  -0.3989000000     -6.21885909      0.2450795315E-01
  -0.3988000000     -6.21613795      0.2352856978E-01
  -0.3987000000     -6.21341681      0.2246025628E-01
  -0.3986000000     -6.21069567      0.2130084476E-01
  -0.3985000000     -6.20797453      0.2004995338E-01
  -0.3984000000     -6.20525339      0.1870974710E-01
  -0.3983000000     -6.20253225      0.1728594090E-01
  -0.3982000000     -6.19981112      0.1578911213E-01
  -0.3981000000     -6.19708998      0.1423640253E-01
  -0.3980000000     -6.19436884      0.1265370313E-01
  -0.3979000000     -6.19164770      0.1107842396E-01
  -0.3978000000     -6.18892656      0.9562949386E-02
  -0.3977000000     -6.18620542      0.8178858290E-02
  -0.3976000000     -6.18348429      0.7021930689E-02
  -0.3975000000     -6.18076315      0.6217845418E-02
  -0.3974000000     -6.17804201      0.5928265971E-02
  -0.3973000000     -6.17532087      0.6356678779E-02
  -0.3972000000     -6.17259973      0.7752863121E-02
  -0.3971000000     -6.16987859      0.1041424231E-01
  -0.3970000000     -6.16715746      0.1468168025E-01
  -0.3969000000     -6.16443632      0.2092677721E-01
  -0.3968000000     -6.16171518      0.2952780686E-01
  -0.3967000000     -6.15899404      0.4083270330E-01
  -0.3966000000     -6.15627290      0.5511046456E-01
  -0.3965000000     -6.15355176      0.7249696227E-01
  -0.3964000000     -6.15083063      0.9294628674E-01
  -0.3963000000     -6.14810949      0.1162019753E+00
  -0.3962000000     -6.14538835      0.1418009045E+00
  -0.3961000000     -6.14266721      0.1691149791E+00
  -0.3960000000     -6.13994607      0.1974241207E+00
  -0.3959000000     -6.13722493      0.2260036290E+00
  -0.3958000000     -6.13450379      0.2542049879E+00
  -0.3957000000     -6.13178266      0.2815133026E+00
  -0.3956000000     -6.12906152      0.3075739596E+00
  -0.3955000000     -6.12634038      0.3321907978E+00
  -0.3954000000     -6.12361924      0.3553042457E+00
  -0.3953000000     -6.12089810      0.3769595027E+00
  -0.3952000000     -6.11817696      0.3972731533E+00
  -0.3951000000     -6.11545583      0.4164035525E+00
  -0.3950000000     -6.11273469      0.4345273987E+00
  -0.3949000000     -6.11001355      0.4518228370E+00
  -0.3948000000     -6.10729241      0.4684582797E+00
  -0.3947000000     -6.10457127      0.4845856909E+00
  -0.3946000000     -6.10185013      0.5003370642E+00
  -0.3945000000     -6.09912900      0.5158230185E+00
  -0.3944000000     -6.09640786      0.5311326860E+00
  -0.3943000000     -6.09368672      0.5463343116E+00
  -0.3942000000     -6.09096558      0.5614761768E+00
  -0.3941000000     -6.08824444      0.5765876159E+00
  -0.3940000000     -6.08552330      0.5916799948E+00
  -0.3939000000     -6.08280217      0.6067476005E+00
  -0.3938000000     -6.08008103      0.6217684381E+00
  -0.3937000000     -6.07735989      0.6367049636E+00
  -0.3936000000     -6.07463875      0.6515048052E+00
  -0.3935000000     -6.07191761      0.6661015325E+00
  -0.3934000000     -6.06919647      0.6804155468E+00
  -0.3933000000     -6.06647533      0.6943551578E+00
  -0.3932000000     -6.06375420      0.7078179153E+00
  -0.3931000000     -6.06103306      0.7206922487E+00
  -0.3930000000     -6.05831192      0.7328594539E+00
