#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170431861601 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24686677      0.2583461485E+00
  -0.3999000000     -6.24414563      0.2676141305E+00
  -0.3998000000     -6.24142449      0.2771286324E+00
  -0.3997000000     -6.23870335      0.2868436167E+00
  -0.3996000000     -6.23598221      0.2966967385E+00
  -0.3995000000     -6.23326108      0.3066058075E+00
  -0.3994000000     -6.23053994      0.3164648069E+00
  -0.3993000000     -6.22781880      0.3261395619E+00
  -0.3992000000     -6.22509766      0.3354632599E+00
  -0.3991000000     -6.22237652      0.3442321671E+00
  -0.3990000000     -6.21965538      0.3522020905E+00
  -0.3989000000     -6.21693425      0.3590863808E+00
  -0.3988000000     -6.21421311      0.3645565579E+00
  -0.3987000000     -6.21149197      0.3682469070E+00
  -0.3986000000     -6.20877083      0.3697645700E+00
  -0.3985000000     -6.20604969      0.3687066026E+00
  -0.3984000000     -6.20332855      0.3646850212E+00
  -0.3983000000     -6.20060742      0.3573598652E+00
  -0.3982000000     -6.19788628      0.3464786792E+00
  -0.3981000000     -6.19516514      0.3319186987E+00
  -0.3980000000     -6.19244400      0.3137258434E+00
  -0.3979000000     -6.18972286      0.2921431179E+00
  -0.3978000000     -6.18700172      0.2676210568E+00
  -0.3977000000     -6.18428058      0.2408050088E+00
  -0.3976000000     -6.18155945      0.2124982372E+00
  -0.3975000000     -6.17883831      0.1836049991E+00
  -0.3974000000     -6.17611717      0.1550622937E+00
  -0.3973000000     -6.17339603      0.1277712837E+00
  -0.3972000000     -6.17067489      0.1025387276E+00
  -0.3971000000     -6.16795375      0.8003556633E-01
  -0.3970000000     -6.16523262      0.6077537550E-01
  -0.3969000000     -6.16251148      0.4511124772E-01
  -0.3968000000     -6.15979034      0.3324685393E-01
  -0.3967000000     -6.15706920      0.2525629394E-01
  -0.3966000000     -6.15434806      0.2110761797E-01
  -0.3965000000     -6.15162692      0.2068602599E-01
  -0.3964000000     -6.14890579      0.2381417250E-01
  -0.3963000000     -6.14618465      0.3026832814E-01
  -0.3962000000     -6.14346351      0.3979017932E-01
  -0.3961000000     -6.14074237      0.5209473864E-01
  -0.3960000000     -6.13802123      0.6687523348E-01
  -0.3959000000     -6.13530009      0.8380600880E-01
  -0.3958000000     -6.13257896      0.1025444902E+00
  -0.3957000000     -6.12985782      0.1227331545E+00
  -0.3956000000     -6.12713668      0.1440022801E+00
  -0.3955000000     -6.12441554      0.1659740141E+00
  -0.3954000000     -6.12169440      0.1882680232E+00
  -0.3953000000     -6.11897326      0.2105086979E+00
  -0.3952000000     -6.11625212      0.2323335978E+00
  -0.3951000000     -6.11353099      0.2534025800E+00
  -0.3950000000     -6.11080985      0.2734068834E+00
  -0.3949000000     -6.10808871      0.2920773828E+00
  -0.3948000000     -6.10536757      0.3091912706E+00
  -0.3947000000     -6.10264643      0.3245765871E+00
  -0.3946000000     -6.09992529      0.3381142523E+00
  -0.3945000000     -6.09720416      0.3497375272E+00
  -0.3944000000     -6.09448302      0.3594290922E+00
  -0.3943000000     -6.09176188      0.3672161456E+00
  -0.3942000000     -6.08904074      0.3731640620E+00
  -0.3941000000     -6.08631960      0.3773692053E+00
  -0.3940000000     -6.08359846      0.3799514685E+00
  -0.3939000000     -6.08087733      0.3810470342E+00
  -0.3938000000     -6.07815619      0.3808017338E+00
  -0.3937000000     -6.07543505      0.3793652595E+00
  -0.3936000000     -6.07271391      0.3768863611E+00
  -0.3935000000     -6.06999277      0.3735090613E+00
  -0.3934000000     -6.06727163      0.3693698443E+00
  -0.3933000000     -6.06455050      0.3645957227E+00
  -0.3932000000     -6.06182936      0.3593030570E+00
  -0.3931000000     -6.05910822      0.3535969922E+00
  -0.3930000000     -6.05638708      0.3475713793E+00
  -0.3929000000     -6.05366594      0.3413090593E+00
  -0.3928000000     -6.05094480      0.3348824029E+00
  -0.3927000000     -6.04822366      0.3283540192E+00
