#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170350492506 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24908093      0.2673165203E-01
  -0.3999000000     -6.24635980      0.2648934030E-01
  -0.3998000000     -6.24363866      0.2622316266E-01
  -0.3997000000     -6.24091752      0.2593096923E-01
  -0.3996000000     -6.23819638      0.2561048239E-01
  -0.3995000000     -6.23547524      0.2525929691E-01
  -0.3994000000     -6.23275410      0.2487488294E-01
  -0.3993000000     -6.23003297      0.2445459293E-01
  -0.3992000000     -6.22731183      0.2399567358E-01
  -0.3991000000     -6.22459069      0.2349528456E-01
  -0.3990000000     -6.22186955      0.2295052611E-01
  -0.3989000000     -6.21914841      0.2235847811E-01
  -0.3988000000     -6.21642727      0.2171625414E-01
  -0.3987000000     -6.21370613      0.2102107480E-01
  -0.3986000000     -6.21098500      0.2027036601E-01
  -0.3985000000     -6.20826386      0.1946188938E-01
  -0.3984000000     -6.20554272      0.1859391378E-01
  -0.3983000000     -6.20282158      0.1766543962E-01
  -0.3982000000     -6.20010044      0.1667649070E-01
  -0.3981000000     -6.19737930      0.1562849212E-01
  -0.3980000000     -6.19465817      0.1452475768E-01
  -0.3979000000     -6.19193703      0.1337111626E-01
  -0.3978000000     -6.18921589      0.1217671335E-01
  -0.3977000000     -6.18649475      0.1095503275E-01
  -0.3976000000     -6.18377361      0.9725192168E-02
  -0.3975000000     -6.18105247      0.8513576933E-02
  -0.3974000000     -6.17833134      0.7355884545E-02
  -0.3973000000     -6.17561020      0.6299659629E-02
  -0.3972000000     -6.17288906      0.5407398048E-02
  -0.3971000000     -6.17016792      0.4760285391E-02
  -0.3970000000     -6.16744678      0.4462597940E-02
  -0.3969000000     -6.16472564      0.4646718740E-02
  -0.3968000000     -6.16200451      0.5478586499E-02
  -0.3967000000     -6.15928337      0.7163174668E-02
  -0.3966000000     -6.15656223      0.9949264790E-02
  -0.3965000000     -6.15384109      0.1413231484E-01
  -0.3964000000     -6.15111995      0.2005364552E-01
  -0.3963000000     -6.14839881      0.2809356205E-01
  -0.3962000000     -6.14567767      0.3865560528E-01
  -0.3961000000     -6.14295654      0.5213925457E-01
  -0.3960000000     -6.14023540      0.6889960054E-01
  -0.3959000000     -6.13751426      0.8919525486E-01
  -0.3958000000     -6.13479312      0.1131301487E+00
  -0.3957000000     -6.13207198      0.1406000454E+00
  -0.3956000000     -6.12935084      0.1712584760E+00
  -0.3955000000     -6.12662971      0.2045165620E+00
