#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170443856010 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24654038      0.5385193273E+00
  -0.3999000000     -6.24381925      0.5504438329E+00
  -0.3998000000     -6.24109811      0.5603305404E+00
  -0.3997000000     -6.23837697      0.5676885722E+00
  -0.3996000000     -6.23565583      0.5720064304E+00
  -0.3995000000     -6.23293469      0.5727751253E+00
  -0.3994000000     -6.23021355      0.5695182666E+00
  -0.3993000000     -6.22749241      0.5618279289E+00
  -0.3992000000     -6.22477128      0.5494037176E+00
  -0.3991000000     -6.22205014      0.5320910699E+00
  -0.3990000000     -6.21932900      0.5099138018E+00
  -0.3989000000     -6.21660786      0.4830956757E+00
  -0.3988000000     -6.21388672      0.4520666203E+00
  -0.3987000000     -6.21116558      0.4174512044E+00
  -0.3986000000     -6.20844445      0.3800397312E+00
  -0.3985000000     -6.20572331      0.3407452022E+00
  -0.3984000000     -6.20300217      0.3005516654E+00
  -0.3983000000     -6.20028103      0.2604605051E+00
  -0.3982000000     -6.19755989      0.2214408640E+00
  -0.3981000000     -6.19483875      0.1843888417E+00
  -0.3980000000     -6.19211762      0.1500979217E+00
  -0.3979000000     -6.18939648      0.1192408639E+00
  -0.3978000000     -6.18667534      0.9236154202E-01
  -0.3977000000     -6.18395420      0.6987416290E-01
  -0.3976000000     -6.18123306      0.5206699601E-01
  -0.3975000000     -6.17851192      0.3910803877E-01
  -0.3974000000     -6.17579079      0.3105073412E-01
  -0.3973000000     -6.17306965      0.2783874544E-01
  -0.3972000000     -6.17034851      0.2930970379E-01
  -0.3971000000     -6.16762737      0.3519863723E-01
  -0.3970000000     -6.16490623      0.4514236260E-01
  -0.3969000000     -6.16218509      0.5868637863E-01
  -0.3968000000     -6.15946395      0.7529568844E-01
  -0.3967000000     -6.15674282      0.9437049155E-01
  -0.3966000000     -6.15402168      0.1152668852E+00
  -0.3965000000     -6.15130054      0.1373217480E+00
  -0.3964000000     -6.14857940      0.1598800567E+00
  -0.3963000000     -6.14585826      0.1823222269E+00
  -0.3962000000     -6.14313712      0.2040888539E+00
  -0.3961000000     -6.14041599      0.2247005037E+00
  -0.3960000000     -6.13769485      0.2437709155E+00
  -0.3959000000     -6.13497371      0.2610129274E+00
  -0.3958000000     -6.13225257      0.2762374144E+00
  -0.3957000000     -6.12953143      0.2893463292E+00
  -0.3956000000     -6.12681029      0.3003214285E+00
  -0.3955000000     -6.12408916      0.3092104403E+00
  -0.3954000000     -6.12136802      0.3161123052E+00
  -0.3953000000     -6.11864688      0.3211628289E+00
  -0.3952000000     -6.11592574      0.3245216879E+00
  -0.3951000000     -6.11320460      0.3263613471E+00
  -0.3950000000     -6.11048346      0.3268581130E+00
  -0.3949000000     -6.10776233      0.3261852997E+00
  -0.3948000000     -6.10504119      0.3245083181E+00
  -0.3947000000     -6.10232005      0.3219814138E+00
  -0.3946000000     -6.09959891      0.3187457439E+00
  -0.3945000000     -6.09687777      0.3149284936E+00
  -0.3944000000     -6.09415663      0.3106427623E+00
  -0.3943000000     -6.09143549      0.3059879894E+00
