#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170423545378 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24709306      0.5367617610E+00
  -0.3999000000     -6.24437193      0.5440067277E+00
  -0.3998000000     -6.24165079      0.5489136411E+00
  -0.3997000000     -6.23892965      0.5509277539E+00
  -0.3996000000     -6.23620851      0.5494232696E+00
  -0.3995000000     -6.23348737      0.5437125149E+00
  -0.3994000000     -6.23076623      0.5330682343E+00
  -0.3993000000     -6.22804510      0.5167659553E+00
  -0.3992000000     -6.22532396      0.4941550338E+00
  -0.3991000000     -6.22260282      0.4647672331E+00
  -0.3990000000     -6.21988168      0.4284682901E+00
  -0.3989000000     -6.21716054      0.3856475435E+00
  -0.3988000000     -6.21443940      0.3374200968E+00
  -0.3987000000     -6.21171826      0.2857855115E+00
  -0.3986000000     -6.20899713      0.2336565961E+00
  -0.3985000000     -6.20627599      0.1846652339E+00
  -0.3984000000     -6.20355485      0.1426992632E+00
  -0.3983000000     -6.20083371      0.1112337159E+00
  -0.3982000000     -6.19811257      0.9264652447E-01
  -0.3981000000     -6.19539143      0.8776385261E-01
  -0.3980000000     -6.19267030      0.9580130688E-01
  -0.3979000000     -6.18994916      0.1146920655E+00
  -0.3978000000     -6.18722802      0.1416374704E+00
  -0.3977000000     -6.18450688      0.1736701337E+00
  -0.3976000000     -6.18178574      0.2080800799E+00
  -0.3975000000     -6.17906460      0.2426528983E+00
  -0.3974000000     -6.17634347      0.2757439976E+00
  -0.3973000000     -6.17362233      0.3062446171E+00
  -0.3972000000     -6.17090119      0.3334939512E+00
  -0.3971000000     -6.16818005      0.3571761274E+00
  -0.3970000000     -6.16545891      0.3772239502E+00
  -0.3969000000     -6.16273777      0.3937388256E+00
  -0.3968000000     -6.16001664      0.4069288188E+00
  -0.3967000000     -6.15729550      0.4170631462E+00
  -0.3966000000     -6.15457436      0.4244400867E+00
  -0.3965000000     -6.15185322      0.4293651920E+00
  -0.3964000000     -6.14913208      0.4321370829E+00
  -0.3963000000     -6.14641094      0.4330386690E+00
  -0.3962000000     -6.14368980      0.4323321547E+00
  -0.3961000000     -6.14096867      0.4302566302E+00
  -0.3960000000     -6.13824753      0.4270273861E+00
  -0.3959000000     -6.13552639      0.4228363442E+00
  -0.3958000000     -6.13280525      0.4178531785E+00
  -0.3957000000     -6.13008411      0.4122268352E+00
  -0.3956000000     -6.12736297      0.4060872525E+00
  -0.3955000000     -6.12464184      0.3995471471E+00
  -0.3954000000     -6.12192070      0.3927037805E+00
  -0.3953000000     -6.11919956      0.3856406506E+00
  -0.3952000000     -6.11647842      0.3784290763E+00
  -0.3951000000     -6.11375728      0.3711296574E+00
  -0.3950000000     -6.11103614      0.3637936043E+00
  -0.3949000000     -6.10831501      0.3564639357E+00
  -0.3948000000     -6.10559387      0.3491765513E+00
  -0.3947000000     -6.10287273      0.3419611843E+00
  -0.3946000000     -6.10015159      0.3348422443E+00
  -0.3945000000     -6.09743045      0.3278395593E+00
  -0.3944000000     -6.09470931      0.3209690261E+00
  -0.3943000000     -6.09198818      0.3142431792E+00
  -0.3942000000     -6.08926704      0.3076716863E+00
  -0.3941000000     -6.08654590      0.3012617792E+00
  -0.3940000000     -6.08382476      0.2950186274E+00
  -0.3939000000     -6.08110362      0.2889456613E+00
  -0.3938000000     -6.07838248      0.2830448513E+00
  -0.3937000000     -6.07566134      0.2773169488E+00
  -0.3936000000     -6.07294021      0.2717616924E+00
  -0.3935000000     -6.07021907      0.2663779864E+00
  -0.3934000000     -6.06749793      0.2611640527E+00
  -0.3933000000     -6.06477679      0.2561175610E+00
  -0.3932000000     -6.06205565      0.2512357404E+00
  -0.3931000000     -6.05933451      0.2465154735E+00
  -0.3930000000     -6.05661338      0.2419533777E+00
  -0.3929000000     -6.05389224      0.2375458728E+00
  -0.3928000000     -6.05117110      0.2332892392E+00
  -0.3927000000     -6.04844996      0.2291796662E+00
  -0.3926000000     -6.04572882      0.2252132931E+00
  -0.3925000000     -6.04300768      0.2213862433E+00
  -0.3924000000     -6.04028655      0.2176946529E+00
  -0.3923000000     -6.03756541      0.2141346943E+00
  -0.3922000000     -6.03484427      0.2107025953E+00
  -0.3921000000     -6.03212313      0.2073946555E+00
  -0.3920000000     -6.02940199      0.2042072590E+00
  -0.3919000000     -6.02668085      0.2011368847E+00
  -0.3918000000     -6.02395972      0.1981801143E+00
  -0.3917000000     -6.02123858      0.1953336391E+00
  -0.3916000000     -6.01851744      0.1925942646E+00
  -0.3915000000     -6.01579630      0.1899589142E+00
  -0.3914000000     -6.01307516      0.1874246315E+00
  -0.3913000000     -6.01035402      0.1849885825E+00
  -0.3912000000     -6.00763288      0.1826480560E+00
  -0.3911000000     -6.00491175      0.1804004646E+00
  -0.3910000000     -6.00219061      0.1782433445E+00
  -0.3909000000     -5.99946947      0.1761743552E+00
  -0.3908000000     -5.99674833      0.1741912789E+00
  -0.3907000000     -5.99402719      0.1722920200E+00
  -0.3906000000     -5.99130605      0.1704746044E+00
  -0.3905000000     -5.98858492      0.1687371783E+00
  -0.3904000000     -5.98586378      0.1670780081E+00
  -0.3903000000     -5.98314264      0.1654954790E+00
  -0.3902000000     -5.98042150      0.1639880953E+00
  -0.3901000000     -5.97770036      0.1625544792E+00
  -0.3900000000     -5.97497922      0.1611933712E+00
  -0.3899000000     -5.97225809      0.1599036303E+00
  -0.3898000000     -5.96953695      0.1586842338E+00
  -0.3897000000     -5.96681581      0.1575342784E+00
  -0.3896000000     -5.96409467      0.1564529815E+00
  -0.3895000000     -5.96137353      0.1554396822E+00
  -0.3894000000     -5.95865239      0.1544938432E+00
  -0.3893000000     -5.95593126      0.1536150537E+00
  -0.3892000000     -5.95321012      0.1528030319E+00
  -0.3891000000     -5.95048898      0.1520576284E+00
  -0.3890000000     -5.94776784      0.1513788307E+00
  -0.3889000000     -5.94504670      0.1507667677E+00
  -0.3888000000     -5.94232556      0.1502217155E+00
  -0.3887000000     -5.93960442      0.1497441038E+00
  -0.3886000000     -5.93688329      0.1493345231E+00
  -0.3885000000     -5.93416215      0.1489937332E+00
  -0.3884000000     -5.93144101      0.1487226728E+00
  -0.3883000000     -5.92871987      0.1485224702E+00
  -0.3882000000     -5.92599873      0.1483944557E+00
  -0.3881000000     -5.92327759      0.1483401748E+00
  -0.3880000000     -5.92055646      0.1483614045E+00
  -0.3879000000     -5.91783532      0.1484601700E+00
  -0.3878000000     -5.91511418      0.1486387648E+00
  -0.3877000000     -5.91239304      0.1488997724E+00
  -0.3876000000     -5.90967190      0.1492460912E+00
  -0.3875000000     -5.90695076      0.1496809625E+00
  -0.3874000000     -5.90422963      0.1502080010E+00
  -0.3873000000     -5.90150849      0.1508312307E+00
  -0.3872000000     -5.89878735      0.1515551238E+00
  -0.3871000000     -5.89606621      0.1523846445E+00
  -0.3870000000     -5.89334507      0.1533252991E+00
  -0.3869000000     -5.89062393      0.1543831909E+00
  -0.3868000000     -5.88790280      0.1555650825E+00
  -0.3867000000     -5.88518166      0.1568784652E+00
  -0.3866000000     -5.88246052      0.1583316362E+00
  -0.3865000000     -5.87973938      0.1599337845E+00
  -0.3864000000     -5.87701824      0.1616950865E+00
  -0.3863000000     -5.87429710      0.1636268107E+00
  -0.3862000000     -5.87157596      0.1657414320E+00
  -0.3861000000     -5.86885483      0.1680527560E+00
  -0.3860000000     -5.86613369      0.1705760501E+00
  -0.3859000000     -5.86341255      0.1733281810E+00
  -0.3858000000     -5.86069141      0.1763277514E+00
  -0.3857000000     -5.85797027      0.1795952305E+00
  -0.3856000000     -5.85524913      0.1831530642E+00
  -0.3855000000     -5.85252800      0.1870257462E+00
  -0.3854000000     -5.84980686      0.1912398206E+00
  -0.3853000000     -5.84708572      0.1958237723E+00
  -0.3852000000     -5.84436458      0.2008077376E+00
  -0.3851000000     -5.84164344      0.2062229401E+00
  -0.3850000000     -5.83892230      0.2121007056E+00
  -0.3849000000     -5.83620117      0.2184708531E+00
  -0.3848000000     -5.83348003      0.2253591614E+00
  -0.3847000000     -5.83075889      0.2327834964E+00
  -0.3846000000     -5.82803775      0.2407480214E+00
  -0.3845000000     -5.82531661      0.2492347284E+00
  -0.3844000000     -5.82259547      0.2581913309E+00
  -0.3843000000     -5.81987434      0.2675144411E+00
  -0.3842000000     -5.81715320      0.2770270627E+00
  -0.3841000000     -5.81443206      0.2864501085E+00
  -0.3840000000     -5.81171092      0.2953694311E+00
  -0.3839000000     -5.80898978      0.3032034844E+00
  -0.3838000000     -5.80626864      0.3091828456E+00
  -0.3837000000     -5.80354750      0.3123609687E+00
  -0.3836000000     -5.80082637      0.3116823286E+00
  -0.3835000000     -5.79810523      0.3061313799E+00
  -0.3834000000     -5.79538409      0.2949621733E+00
  -0.3833000000     -5.79266295      0.2779599138E+00
  -0.3832000000     -5.78994181      0.2556324062E+00
  -0.3831000000     -5.78722067      0.2292186203E+00
  -0.3830000000     -5.78449954      0.2004702614E+00
  -0.3829000000     -5.78177840      0.1712808310E+00
  -0.3828000000     -5.77905726      0.1433158390E+00
  -0.3827000000     -5.77633612      0.1177766245E+00
  -0.3826000000     -5.77361498      0.9533897581E-01
  -0.3825000000     -5.77089384      0.7622437203E-01
  -0.3824000000     -5.76817271      0.6033129231E-01
  -0.3823000000     -5.76545157      0.4736803812E-01
  -0.3822000000     -5.76273043      0.3695728462E-01
  -0.3821000000     -5.76000929      0.2870564727E-01
