#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170382686438 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24820489      0.1266831794E+00
  -0.3999000000     -6.24548375      0.1300296086E+00
  -0.3998000000     -6.24276262      0.1334722033E+00
  -0.3997000000     -6.24004148      0.1370055558E+00
  -0.3996000000     -6.23732034      0.1406219220E+00
  -0.3995000000     -6.23459920      0.1443106714E+00
  -0.3994000000     -6.23187806      0.1480576232E+00
  -0.3993000000     -6.22915692      0.1518442493E+00
  -0.3992000000     -6.22643579      0.1556467248E+00
  -0.3991000000     -6.22371465      0.1594348053E+00
  -0.3990000000     -6.22099351      0.1631705138E+00
  -0.3989000000     -6.21827237      0.1668066292E+00
  -0.3988000000     -6.21555123      0.1702849804E+00
  -0.3987000000     -6.21283009      0.1735345765E+00
  -0.3986000000     -6.21010895      0.1764696431E+00
  -0.3985000000     -6.20738782      0.1789876972E+00
  -0.3984000000     -6.20466668      0.1809678823E+00
  -0.3983000000     -6.20194554      0.1822699111E+00
  -0.3982000000     -6.19922440      0.1827341239E+00
  -0.3981000000     -6.19650326      0.1821833659E+00
  -0.3980000000     -6.19378212      0.1804275829E+00
  -0.3979000000     -6.19106099      0.1772721862E+00
  -0.3978000000     -6.18833985      0.1725312412E+00
  -0.3977000000     -6.18561871      0.1660462416E+00
  -0.3976000000     -6.18289757      0.1577104839E+00
  -0.3975000000     -6.18017643      0.1474977062E+00
  -0.3974000000     -6.17745529      0.1354917494E+00
  -0.3973000000     -6.17473416      0.1219118768E+00
  -0.3972000000     -6.17201302      0.1071268212E+00
  -0.3971000000     -6.16929188      0.9165067251E-01
  -0.3970000000     -6.16657074      0.7611624869E-01
  -0.3969000000     -6.16384960      0.6122662031E-01
  -0.3968000000     -6.16112846      0.4769163001E-01
  -0.3967000000     -6.15840733      0.3616116275E-01
  -0.3966000000     -6.15568619      0.2716829849E-01
  -0.3965000000     -6.15296505      0.2109255946E-01
  -0.3964000000     -6.15024391      0.1814754291E-01
  -0.3963000000     -6.14752277      0.1839086359E-01
  -0.3962000000     -6.14480163      0.2174984889E-01
  -0.3961000000     -6.14208049      0.2805485095E-01
  -0.3960000000     -6.13935936      0.3707297395E-01
  -0.3959000000     -6.13663822      0.4853731080E-01
  -0.3958000000     -6.13391708      0.6216929170E-01
  -0.3957000000     -6.13119594      0.7769374409E-01
  -0.3956000000     -6.12847480      0.9484750565E-01
  -0.3955000000     -6.12575366      0.1133829973E+00
  -0.3954000000     -6.12303253      0.1330682607E+00
  -0.3953000000     -6.12031139      0.1536848054E+00
  -0.3952000000     -6.11759025      0.1750243530E+00
  -0.3951000000     -6.11486911      0.1968852986E+00
  -0.3950000000     -6.11214797      0.2190694820E+00
  -0.3949000000     -6.10942683      0.2413796740E+00
  -0.3948000000     -6.10670570      0.2636180422E+00
  -0.3947000000     -6.10398456      0.2855857437E+00
  -0.3946000000     -6.10126342      0.3070836929E+00
  -0.3945000000     -6.09854228      0.3279144636E+00
  -0.3944000000     -6.09582114      0.3478851971E+00
  -0.3943000000     -6.09310000      0.3668113083E+00
  -0.3942000000     -6.09037887      0.3845207121E+00
  -0.3941000000     -6.08765773      0.4008582417E+00
  -0.3940000000     -6.08493659      0.4156899039E+00
  -0.3939000000     -6.08221545      0.4289066232E+00
  -0.3938000000     -6.07949431      0.4404271690E+00
  -0.3937000000     -6.07677317      0.4502000271E+00
  -0.3936000000     -6.07405203      0.4582040760E+00
  -0.3935000000     -6.07133090      0.4644480302E+00
  -0.3934000000     -6.06860976      0.4689687198E+00
  -0.3933000000     -6.06588862      0.4718283652E+00
  -0.3932000000     -6.06316748      0.4731110704E+00
  -0.3931000000     -6.06044634      0.4729187984E+00
  -0.3930000000     -6.05772520      0.4713670982E+00
  -0.3929000000     -6.05500407      0.4685808353E+00
  -0.3928000000     -6.05228293      0.4646901404E+00
  -0.3927000000     -6.04956179      0.4598267416E+00
  -0.3926000000     -6.04684065      0.4541207904E+00
  -0.3925000000     -6.04411951      0.4476982413E+00
  -0.3924000000     -6.04139837      0.4406788008E+00
  -0.3923000000     -6.03867724      0.4331744224E+00
  -0.3922000000     -6.03595610      0.4252883024E+00
  -0.3921000000     -6.03323496      0.4171143120E+00
  -0.3920000000     -6.03051382      0.4087367957E+00
  -0.3919000000     -6.02779268      0.4002306635E+00
  -0.3918000000     -6.02507154      0.3916617084E+00
  -0.3917000000     -6.02235041      0.3830870876E+00
  -0.3916000000     -6.01962927      0.3745559140E+00
  -0.3915000000     -6.01690813      0.3661099135E+00
  -0.3914000000     -6.01418699      0.3577841128E+00
  -0.3913000000     -6.01146585      0.3496075297E+00
  -0.3912000000     -6.00874471      0.3416038458E+00
  -0.3911000000     -6.00602357      0.3337920475E+00
  -0.3910000000     -6.00330244      0.3261870247E+00
  -0.3909000000     -6.00058130      0.3188001238E+00
  -0.3908000000     -5.99786016      0.3116396499E+00
  -0.3907000000     -5.99513902      0.3047113200E+00
  -0.3906000000     -5.99241788      0.2980186675E+00
  -0.3905000000     -5.98969674      0.2915634007E+00
