#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170994356976 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.23156049      0.7657214450E+00
  -0.3999000000     -6.22883935      0.7769219734E+00
  -0.3998000000     -6.22611821      0.7740125208E+00
  -0.3997000000     -6.22339708      0.7640325019E+00
  -0.3996000000     -6.22067594      0.7515581053E+00
  -0.3995000000     -6.21795480      0.7392228946E+00
  -0.3994000000     -6.21523366      0.7283951620E+00
  -0.3993000000     -6.21251252      0.7196979679E+00
  -0.3992000000     -6.20979138      0.7133432292E+00
  -0.3991000000     -6.20707024      0.7093286523E+00
  -0.3990000000     -6.20434911      0.7075481370E+00
  -0.3989000000     -6.20162797      0.7078513718E+00
  -0.3988000000     -6.19890683      0.7100746965E+00
  -0.3987000000     -6.19618569      0.7140560888E+00
  -0.3986000000     -6.19346455      0.7196415333E+00
  -0.3985000000     -6.19074341      0.7266868140E+00
  -0.3984000000     -6.18802228      0.7350569540E+00
  -0.3983000000     -6.18530114      0.7446245175E+00
  -0.3982000000     -6.18258000      0.7552674355E+00
  -0.3981000000     -6.17985886      0.7668667101E+00
  -0.3980000000     -6.17713772      0.7793041925E+00
  -0.3979000000     -6.17441658      0.7924605410E+00
  -0.3978000000     -6.17169545      0.8062134259E+00
  -0.3977000000     -6.16897431      0.8204360283E+00
  -0.3976000000     -6.16625317      0.8349958730E+00
  -0.3975000000     -6.16353203      0.8497540361E+00
  -0.3974000000     -6.16081089      0.8645647668E+00
  -0.3973000000     -6.15808975      0.8792755622E+00
  -0.3972000000     -6.15536862      0.8937277291E+00
  -0.3971000000     -6.15264748      0.9077574583E+00
  -0.3970000000     -6.14992634      0.9211974199E+00
  -0.3969000000     -6.14720520      0.9338788684E+00
  -0.3968000000     -6.14448406      0.9456342220E+00
  -0.3967000000     -6.14176292      0.9563000460E+00
  -0.3966000000     -6.13904178      0.9657203444E+00
  -0.3965000000     -6.13632065      0.9737500294E+00
  -0.3964000000     -6.13359951      0.9802584140E+00
  -0.3963000000     -6.13087837      0.9851325564E+00
  -0.3962000000     -6.12815723      0.9882802769E+00
  -0.3961000000     -6.12543609      0.9896326758E+00
  -0.3960000000     -6.12271495      0.9891460024E+00
  -0.3959000000     -6.11999382      0.9868027580E+00
  -0.3958000000     -6.11727268      0.9826119627E+00
  -0.3957000000     -6.11455154      0.9766085649E+00
  -0.3956000000     -6.11183040      0.9688520296E+00
  -0.3955000000     -6.10910926      0.9594241864E+00
  -0.3954000000     -6.10638812      0.9484264639E+00
  -0.3953000000     -6.10366699      0.9359766650E+00
  -0.3952000000     -6.10094585      0.9222054538E+00
  -0.3951000000     -6.09822471      0.9072527268E+00
  -0.3950000000     -6.09550357      0.8912640320E+00
  -0.3949000000     -6.09278243      0.8743871755E+00
  -0.3948000000     -6.09006129      0.8567691305E+00
  -0.3947000000     -6.08734016      0.8385533305E+00
  -0.3946000000     -6.08461902      0.8198773969E+00
  -0.3945000000     -6.08189788      0.8008713221E+00
  -0.3944000000     -6.07917674      0.7816561025E+00
  -0.3943000000     -6.07645560      0.7623427980E+00
  -0.3942000000     -6.07373446      0.7430319767E+00
  -0.3941000000     -6.07101332      0.7238134964E+00
  -0.3940000000     -6.06829219      0.7047665697E+00
  -0.3939000000     -6.06557105      0.6859600566E+00
  -0.3938000000     -6.06284991      0.6674529343E+00
  -0.3937000000     -6.06012877      0.6492948954E+00
  -0.3936000000     -6.05740763      0.6315270312E+00
  -0.3935000000     -6.05468649      0.6141825671E+00
  -0.3934000000     -6.05196536      0.5972876167E+00
  -0.3933000000     -6.04924422      0.5808619340E+00
  -0.3932000000     -6.04652308      0.5649196441E+00
  -0.3931000000     -6.04380194      0.5494699390E+00
  -0.3930000000     -6.04108080      0.5345177313E+00
  -0.3929000000     -6.03835966      0.5200642570E+00
  -0.3928000000     -6.03563853      0.5061076274E+00
  -0.3927000000     -6.03291739      0.4926433283E+00
  -0.3926000000     -6.03019625      0.4796646663E+00
  -0.3925000000     -6.02747511      0.4671631660E+00
  -0.3924000000     -6.02475397      0.4551289197E+00
  -0.3923000000     -6.02203283      0.4435508932E+00
  -0.3922000000     -6.01931170      0.4324171917E+00
  -0.3921000000     -6.01659056      0.4217152890E+00
  -0.3920000000     -6.01386942      0.4114322234E+00
  -0.3919000000     -6.01114828      0.4015547648E+00
  -0.3918000000     -6.00842714      0.3920695558E+00
  -0.3917000000     -6.00570600      0.3829632291E+00
  -0.3916000000     -6.00298486      0.3742225056E+00
  -0.3915000000     -6.00026373      0.3658342748E+00
  -0.3914000000     -5.99754259      0.3577856599E+00
  -0.3913000000     -5.99482145      0.3500640699E+00
  -0.3912000000     -5.99210031      0.3426572409E+00
  -0.3911000000     -5.98937917      0.3355532673E+00
  -0.3910000000     -5.98665803      0.3287406251E+00
  -0.3909000000     -5.98393690      0.3222081890E+00
  -0.3908000000     -5.98121576      0.3159452425E+00
  -0.3907000000     -5.97849462      0.3099414848E+00
  -0.3906000000     -5.97577348      0.3041870326E+00
  -0.3905000000     -5.97305234      0.2986724187E+00
  -0.3904000000     -5.97033120      0.2933885893E+00
  -0.3903000000     -5.96761007      0.2883268973E+00
  -0.3902000000     -5.96488893      0.2834790956E+00
  -0.3901000000     -5.96216779      0.2788373281E+00
  -0.3900000000     -5.95944665      0.2743941202E+00
  -0.3899000000     -5.95672551      0.2701423686E+00
  -0.3898000000     -5.95400437      0.2660753304E+00
  -0.3897000000     -5.95128324      0.2621866121E+00
  -0.3896000000     -5.94856210      0.2584701586E+00
  -0.3895000000     -5.94584096      0.2549202416E+00
  -0.3894000000     -5.94311982      0.2515314489E+00
  -0.3893000000     -5.94039868      0.2482986732E+00
  -0.3892000000     -5.93767754      0.2452171015E+00
  -0.3891000000     -5.93495640      0.2422822043E+00
  -0.3890000000     -5.93223527      0.2394897258E+00
  -0.3889000000     -5.92951413      0.2368356733E+00
  -0.3888000000     -5.92679299      0.2343163084E+00
  -0.3887000000     -5.92407185      0.2319281364E+00
  -0.3886000000     -5.92135071      0.2296678983E+00
  -0.3885000000     -5.91862957      0.2275325608E+00
  -0.3884000000     -5.91590844      0.2255193076E+00
  -0.3883000000     -5.91318730      0.2236255308E+00
  -0.3882000000     -5.91046616      0.2218488215E+00
  -0.3881000000     -5.90774502      0.2201869611E+00
  -0.3880000000     -5.90502388      0.2186379113E+00
  -0.3879000000     -5.90230274      0.2171998046E+00
  -0.3878000000     -5.89958161      0.2158709335E+00
  -0.3877000000     -5.89686047      0.2146497389E+00
  -0.3876000000     -5.89413933      0.2135347974E+00
  -0.3875000000     -5.89141819      0.2125248067E+00
  -0.3874000000     -5.88869705      0.2116185695E+00
  -0.3873000000     -5.88597591      0.2108149744E+00
  -0.3872000000     -5.88325478      0.2101129741E+00
  -0.3871000000     -5.88053364      0.2095115592E+00
  -0.3870000000     -5.87781250      0.2090097278E+00
  -0.3869000000     -5.87509136      0.2086064493E+00
  -0.3868000000     -5.87237022      0.2083006201E+00
  -0.3867000000     -5.86964908      0.2080910125E+00
