#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170407127795 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24753981      0.2272915146E+00
  -0.3999000000     -6.24481867      0.2353921241E+00
  -0.3998000000     -6.24209753      0.2437321557E+00
  -0.3997000000     -6.23937639      0.2522774004E+00
  -0.3996000000     -6.23665526      0.2609803936E+00
  -0.3995000000     -6.23393412      0.2697773752E+00
  -0.3994000000     -6.23121298      0.2785848073E+00
  -0.3993000000     -6.22849184      0.2872955032E+00
  -0.3992000000     -6.22577070      0.2957744996E+00
  -0.3991000000     -6.22304956      0.3038549252E+00
  -0.3990000000     -6.22032843      0.3113342861E+00
  -0.3989000000     -6.21760729      0.3179718063E+00
  -0.3988000000     -6.21488615      0.3234877248E+00
  -0.3987000000     -6.21216501      0.3275657187E+00
  -0.3986000000     -6.20944387      0.3298598423E+00
  -0.3985000000     -6.20672273      0.3300074240E+00
  -0.3984000000     -6.20400159      0.3276490987E+00
  -0.3983000000     -6.20128046      0.3224564118E+00
  -0.3982000000     -6.19855932      0.3141660913E+00
  -0.3981000000     -6.19583818      0.3026181998E+00
  -0.3980000000     -6.19311704      0.2877932670E+00
  -0.3979000000     -6.19039590      0.2698418006E+00
  -0.3978000000     -6.18767476      0.2490991134E+00
  -0.3977000000     -6.18495363      0.2260798739E+00
  -0.3976000000     -6.18223249      0.2014502984E+00
  -0.3975000000     -6.17951135      0.1759806821E+00
  -0.3974000000     -6.17679021      0.1504855206E+00
  -0.3973000000     -6.17406907      0.1257611964E+00
  -0.3972000000     -6.17134793      0.1025311603E+00
  -0.3971000000     -6.16862680      0.8140592258E-01
  -0.3970000000     -6.16590566      0.6286112248E-01
  -0.3969000000     -6.16318452      0.4723293244E-01
  -0.3968000000     -6.16046338      0.3472718198E-01
  -0.3967000000     -6.15774224      0.2543729165E-01
  -0.3966000000     -6.15502110      0.1936619329E-01
  -0.3965000000     -6.15229997      0.1644836971E-01
  -0.3964000000     -6.14957883      0.1656943064E-01
  -0.3963000000     -6.14685769      0.1958185921E-01
  -0.3962000000     -6.14413655      0.2531651403E-01
  -0.3961000000     -6.14141541      0.3359010877E-01
  -0.3960000000     -6.13869427      0.4420925557E-01
  -0.3959000000     -6.13597313      0.5697182817E-01
  -0.3958000000     -6.13325200      0.7166644663E-01
  -0.3957000000     -6.13053086      0.8807086638E-01
  -0.3956000000     -6.12780972      0.1059500021E+00
  -0.3955000000     -6.12508858      0.1250542474E+00
  -0.3954000000     -6.12236744      0.1451186654E+00
  -0.3953000000     -6.11964630      0.1658635164E+00
  -0.3952000000     -6.11692517      0.1869964485E+00
  -0.3951000000     -6.11420403      0.2082165044E+00
  -0.3950000000     -6.11148289      0.2292198918E+00
  -0.3949000000     -6.10876175      0.2497072482E+00
  -0.3948000000     -6.10604061      0.2693919228E+00
  -0.3947000000     -6.10331947      0.2880086334E+00
  -0.3946000000     -6.10059834      0.3053217652E+00
  -0.3945000000     -6.09787720      0.3211325777E+00
  -0.3944000000     -6.09515606      0.3352846888E+00
  -0.3943000000     -6.09243492      0.3476673851E+00
  -0.3942000000     -6.08971378      0.3582165510E+00
  -0.3941000000     -6.08699264      0.3669132581E+00
  -0.3940000000     -6.08427151      0.3737802860E+00
  -0.3939000000     -6.08155037      0.3788770136E+00
  -0.3938000000     -6.07882923      0.3822932165E+00
  -0.3937000000     -6.07610809      0.3841423228E+00
  -0.3936000000     -6.07338695      0.3845546356E+00
  -0.3935000000     -6.07066581      0.3836709365E+00
  -0.3934000000     -6.06794467      0.3816367743E+00
  -0.3933000000     -6.06522354      0.3785976209E+00
  -0.3932000000     -6.06250240      0.3746949741E+00
  -0.3931000000     -6.05978126      0.3700634003E+00
  -0.3930000000     -6.05706012      0.3648284480E+00
  -0.3929000000     -6.05433898      0.3591053269E+00
  -0.3928000000     -6.05161784      0.3529982242E+00
  -0.3927000000     -6.04889671      0.3466001327E+00
  -0.3926000000     -6.04617557      0.3399930655E+00
  -0.3925000000     -6.04345443      0.3332485503E+00
  -0.3924000000     -6.04073329      0.3264283115E+00
  -0.3923000000     -6.03801215      0.3195850639E+00
  -0.3922000000     -6.03529101      0.3127633615E+00
  -0.3921000000     -6.03256988      0.3060004558E+00
  -0.3920000000     -6.02984874      0.2993271333E+00
  -0.3919000000     -6.02712760      0.2927685104E+00
  -0.3918000000     -6.02440646      0.2863447723E+00
  -0.3917000000     -6.02168532      0.2800718491E+00
  -0.3916000000     -6.01896418      0.2739620258E+00
  -0.3915000000     -6.01624305      0.2680244869E+00
  -0.3914000000     -6.01352191      0.2622657985E+00
