#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170353013949 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24901232      0.3987885177E-01
  -0.3999000000     -6.24629118      0.3979192853E-01
  -0.3998000000     -6.24357005      0.3966370979E-01
  -0.3997000000     -6.24084891      0.3948911119E-01
  -0.3996000000     -6.23812777      0.3926256768E-01
  -0.3995000000     -6.23540663      0.3897800439E-01
  -0.3994000000     -6.23268549      0.3862881232E-01
  -0.3993000000     -6.22996435      0.3820783213E-01
  -0.3992000000     -6.22724321      0.3770735067E-01
  -0.3991000000     -6.22452208      0.3711911645E-01
  -0.3990000000     -6.22180094      0.3643438279E-01
  -0.3989000000     -6.21907980      0.3564399042E-01
  -0.3988000000     -6.21635866      0.3473850550E-01
  -0.3987000000     -6.21363752      0.3370843448E-01
  -0.3986000000     -6.21091638      0.3254454465E-01
  -0.3985000000     -6.20819525      0.3123832842E-01
  -0.3984000000     -6.20547411      0.2978266135E-01
  -0.3983000000     -6.20275297      0.2817271879E-01
  -0.3982000000     -6.20003183      0.2640723415E-01
  -0.3981000000     -6.19731069      0.2449020191E-01
  -0.3980000000     -6.19458955      0.2243315015E-01
  -0.3979000000     -6.19186842      0.2025812620E-01
  -0.3978000000     -6.18914728      0.1800154715E-01
  -0.3977000000     -6.18642614      0.1571905305E-01
  -0.3976000000     -6.18370500      0.1349144131E-01
  -0.3975000000     -6.18098386      0.1143162643E-01
  -0.3974000000     -6.17826272      0.9692314555E-02
  -0.3973000000     -6.17554159      0.8473660739E-02
  -0.3972000000     -6.17282045      0.8029552508E-02
  -0.3971000000     -6.17009931      0.8670355249E-02
  -0.3970000000     -6.16737817      0.1075910471E-01
  -0.3969000000     -6.16465703      0.1469758434E-01
  -0.3968000000     -6.16193589      0.2089906956E-01
  -0.3967000000     -6.15921475      0.2974647608E-01
  -0.3966000000     -6.15649362      0.4153866358E-01
  -0.3965000000     -6.15377248      0.5643323059E-01
  -0.3964000000     -6.15105134      0.7439931686E-01
  -0.3963000000     -6.14833020      0.9519557288E-01
  -0.3962000000     -6.14560906      0.1183839923E+00
  -0.3961000000     -6.14288792      0.1433800770E+00
  -0.3960000000     -6.14016679      0.1695279613E+00
  -0.3959000000     -6.13744565      0.1961814810E+00
  -0.3958000000     -6.13472451      0.2227723007E+00
  -0.3957000000     -6.13200337      0.2488531452E+00
  -0.3956000000     -6.12928223      0.2741135786E+00
  -0.3955000000     -6.12656109      0.2983732544E+00
  -0.3954000000     -6.12383996      0.3215610266E+00
  -0.3953000000     -6.12111882      0.3436881603E+00
  -0.3952000000     -6.11839768      0.3648217206E+00
  -0.3951000000     -6.11567654      0.3850616088E+00
  -0.3950000000     -6.11295540      0.4045225767E+00
  -0.3949000000     -6.11023426      0.4233211797E+00
  -0.3948000000     -6.10751313      0.4415669353E+00
  -0.3947000000     -6.10479199      0.4593567371E+00
  -0.3946000000     -6.10207085      0.4767716153E+00
  -0.3945000000     -6.09934971      0.4938750928E+00
  -0.3944000000     -6.09662857      0.5107125730E+00
  -0.3943000000     -6.09390743      0.5273113639E+00
  -0.3942000000     -6.09118629      0.5436810834E+00
  -0.3941000000     -6.08846516      0.5598142931E+00
  -0.3940000000     -6.08574402      0.5756872849E+00
  -0.3939000000     -6.08302288      0.5912609969E+00
  -0.3938000000     -6.08030174      0.6064820677E+00
  -0.3937000000     -6.07758060      0.6212840581E+00
  -0.3936000000     -6.07485946      0.6355888786E+00
  -0.3935000000     -6.07213833      0.6493084589E+00
  -0.3934000000     -6.06941719      0.6623466900E+00
  -0.3933000000     -6.06669605      0.6746016519E+00
  -0.3932000000     -6.06397491      0.6859681209E+00
  -0.3931000000     -6.06125377      0.6963403275E+00
  -0.3930000000     -6.05853263      0.7056149061E+00
  -0.3929000000     -6.05581150      0.7136939548E+00
  -0.3928000000     -6.05309036      0.7204880973E+00
  -0.3927000000     -6.05036922      0.7259194232E+00
  -0.3926000000     -6.04764808      0.7299241716E+00
  -0.3925000000     -6.04492694      0.7324550258E+00
  -0.3924000000     -6.04220580      0.7334828982E+00
  -0.3923000000     -6.03948467      0.7329981077E+00
  -0.3922000000     -6.03676353      0.7310108870E+00
  -0.3921000000     -6.03404239      0.7275511942E+00
  -0.3920000000     -6.03132125      0.7226678472E+00
  -0.3919000000     -6.02860011      0.7164270394E+00
  -0.3918000000     -6.02587897      0.7089103301E+00
  -0.3917000000     -6.02315783      0.7002122304E+00
  -0.3916000000     -6.02043670      0.6904375191E+00
  -0.3915000000     -6.01771556      0.6796984295E+00
  -0.3914000000     -6.01499442      0.6681118405E+00
  -0.3913000000     -6.01227328      0.6557965903E+00
  -0.3912000000     -6.00955214      0.6428710092E+00
  -0.3911000000     -6.00683100      0.6294507446E+00
  -0.3910000000     -6.00410987      0.6156469229E+00
  -0.3909000000     -6.00138873      0.6015646709E+00
  -0.3908000000     -5.99866759      0.5873019964E+00
  -0.3907000000     -5.99594645      0.5729490116E+00
  -0.3906000000     -5.99322531      0.5585874686E+00
  -0.3905000000     -5.99050417      0.5442905688E+00
  -0.3904000000     -5.98778304      0.5301230045E+00
  -0.3903000000     -5.98506190      0.5161411874E+00
  -0.3902000000     -5.98234076      0.5023936234E+00
  -0.3901000000     -5.97961962      0.4889213925E+00
  -0.3900000000     -5.97689848      0.4757587014E+00
  -0.3899000000     -5.97417734      0.4629334779E+00
  -0.3898000000     -5.97145621      0.4504679821E+00
  -0.3897000000     -5.96873507      0.4383794167E+00
  -0.3896000000     -5.96601393      0.4266805186E+00
  -0.3895000000     -5.96329279      0.4153801231E+00
  -0.3894000000     -5.96057165      0.4044836912E+00
  -0.3893000000     -5.95785051      0.3939937949E+00
  -0.3892000000     -5.95512937      0.3839105575E+00
  -0.3891000000     -5.95240824      0.3742320482E+00
  -0.3890000000     -5.94968710      0.3649546280E+00
  -0.3889000000     -5.94696596      0.3560732484E+00
  -0.3888000000     -5.94424482      0.3475817016E+00
  -0.3887000000     -5.94152368      0.3394728218E+00
  -0.3886000000     -5.93880254      0.3317386338E+00
  -0.3885000000     -5.93608141      0.3243704464E+00
  -0.3884000000     -5.93336027      0.3173588816E+00
  -0.3883000000     -5.93063913      0.3106938291E+00
  -0.3882000000     -5.92791799      0.3043643076E+00
  -0.3881000000     -5.92519685      0.2983582067E+00
  -0.3880000000     -5.92247571      0.2926618700E+00
  -0.3879000000     -5.91975458      0.2872594621E+00
  -0.3878000000     -5.91703344      0.2821320338E+00
  -0.3877000000     -5.91431230      0.2772561639E+00
  -0.3876000000     -5.91159116      0.2726019967E+00
  -0.3875000000     -5.90887002      0.2681304113E+00
  -0.3874000000     -5.90614888      0.2637889426E+00
  -0.3873000000     -5.90342775      0.2595059044E+00
  -0.3872000000     -5.90070661      0.2551819446E+00
  -0.3871000000     -5.89798547      0.2506779953E+00
  -0.3870000000     -5.89526433      0.2457983342E+00
  -0.3869000000     -5.89254319      0.2402674823E+00
  -0.3868000000     -5.88982205      0.2337004943E+00
  -0.3867000000     -5.88710091      0.2255692452E+00
  -0.3866000000     -5.88437978      0.2151752876E+00
  -0.3865000000     -5.88165864      0.2016570541E+00
  -0.3864000000     -5.87893750      0.1840883826E+00
  -0.3863000000     -5.87621636      0.1617546189E+00
  -0.3862000000     -5.87349522      0.1346665028E+00
  -0.3861000000     -5.87077408      0.1041845770E+00
  -0.3860000000     -5.86805295      0.7327145884E-01
  -0.3859000000     -5.86533181      0.4577790824E-01
  -0.3858000000     -5.86261067      0.2488483061E-01
  -0.3857000000     -5.85988953      0.1183520428E-01
  -0.3856000000     -5.85716839      0.5899658492E-02
  -0.3855000000     -5.85444725      0.5277569479E-02
  -0.3854000000     -5.85172612      0.8039465469E-02
  -0.3853000000     -5.84900498      0.1263324090E-01
  -0.3852000000     -5.84628384      0.1799685902E-01
  -0.3851000000     -5.84356270      0.2348050902E-01
  -0.3850000000     -5.84084156      0.2872376419E-01
  -0.3849000000     -5.83812042      0.3354973749E-01
  -0.3848000000     -5.83539929      0.3789021033E-01
  -0.3847000000     -5.83267815      0.4173759693E-01
  -0.3846000000     -5.82995701      0.4511585153E-01
  -0.3845000000     -5.82723587      0.4806354692E-01
  -0.3844000000     -5.82451473      0.5062438221E-01
  -0.3843000000     -5.82179359      0.5284208340E-01
  -0.3842000000     -5.81907245      0.5475784119E-01
  -0.3841000000     -5.81635132      0.5640918157E-01
  -0.3840000000     -5.81363018      0.5782962361E-01
  -0.3839000000     -5.81090904      0.5904875162E-01
